1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,3,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,40,50,60,1,50,1,1,1,1,1,1,50,1,1,1,1,1,50,1,1,1,1,6,7,8,9,1,50,1,1,1,1,50,50,1,1,50,50,1,1,1
1,1,50,90,3,4,5,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,6,7,8,9,1,1,1,50,1,1,50,1,1,1,1,1,1,50,1
1,1,1,6,7,8,9,50,1,1,1,1,1,1,50,1,1,1,50,1,1,1,1,6,7,8,9,1,1,50,50,50,1,1,1,50,1,1,1,50,1,1
1,1,1,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,1,1,50,1,6,7,8,9,1,1,1,50,1,1,1,1,50,1,1,1,1,50,50
50,50,1,2,3,4,5,1,1,1,50,50,50,50,1,1,1,1,1,1,1,1,50,6,7,8,9,50,1,1,1,1,1,1,1,50,1,1,1,50,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,3,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,40,50,60,1,50,1,1,1,1,1,1,50,1,1,1,1,1,50,1,1,1,1,6,7,8,9,1,50,1,1,1,1,50,50,1,1,50,50,1,1,1
1,1,50,90,3,4,5,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,6,7,8,9,1,1,1,50,1,1,50,1,1,1,1,1,1,50,1
1,1,1,6,7,8,9,50,1,1,1,1,1,1,50,1,1,1,50,1,1,1,1,6,7,8,9,1,1,50,50,50,1,1,1,50,1,1,1,50,1,1
1,1,1,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,1,1,50,1,6,7,8,9,1,1,1,50,1,1,1,1,50,1,1,1,1,50,50
50,50,1,2,3,4,5,1,1,1,50,50,50,50,1,1,1,1,1,1,1,1,50,6,7,8,9,50,1,1,1,1,1,1,1,50,1,1,1,50,1,1
50,1,1,6,7,8,9,1,1,50,1,1,1,1,50,1,1,1,1,50,1,1,1,6,7,8,9,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,40,50,60,1,50,1,1,1,1,1,1,50,1,1,1,1,1,50,1,1,1,1,6,7,8,9,1,50,1,1,1,1,50,50,1,1,50,50,1,1,1
1,1,50,90,3,4,5,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,6,7,8,9,1,1,1,50,1,1,50,1,1,1,1,1,1,50,1
1,1,1,6,7,8,9,50,1,1,1,1,1,1,50,1,1,1,50,1,1,1,1,6,7,8,9,1,1,50,50,50,1,1,1,50,1,1,1,50,1,1
1,1,1,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,1,1,50,1,6,7,8,9,1,1,1,50,1,1,1,1,50,1,1,1,1,50,50
50,50,1,2,3,4,5,1,1,1,50,50,50,50,1,1,1,1,1,1,1,1,50,6,7,8,9,50,1,1,1,1,1,1,1,50,1,1,1,50,1,1
1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,40,50,60,1,50,1,1,1,1,1,1,50,1,1,1,1,1,50,1,1,1,1,6,7,8,9,1,50,1,1,1,1,50,50,1,1,50,50,1,1,1
1,1,50,90,3,4,5,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,6,7,8,9,1,1,1,50,1,1,50,1,1,1,1,1,1,50,1
1,1,1,6,7,8,9,50,1,1,1,1,1,1,50,1,1,1,50,1,1,1,1,6,7,8,9,1,1,50,50,50,1,1,1,50,1,1,1,50,1,1
1,1,1,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,1,1,50,1,6,7,8,9,1,1,1,50,1,1,1,1,50,1,1,1,1,50,50
50,50,1,2,3,4,5,1,1,1,50,50,50,50,1,1,1,1,1,1,1,1,50,6,7,8,9,50,1,1,1,1,1,1,1,50,1,1,1,50,1,1
1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,40,50,60,1,50,1,1,1,1,1,1,50,1,1,1,1,1,50,1,1,1,1,6,7,8,9,1,50,1,1,1,1,50,50,1,1,50,50,1,1,1
1,1,50,90,3,4,5,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,6,7,8,9,1,1,1,50,1,1,50,1,1,1,1,1,1,50,1
1,1,1,6,7,8,9,50,1,1,1,1,1,1,50,1,1,1,50,1,1,1,1,6,7,8,9,1,1,50,50,50,1,1,1,50,1,1,1,50,1,1
1,1,1,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,1,1,50,1,6,7,8,9,1,1,1,50,1,1,1,1,50,1,1,1,1,50,50
50,50,1,2,3,4,5,1,1,1,50,50,50,50,1,1,1,1,1,1,1,1,50,6,7,8,9,50,1,1,1,1,1,1,1,50,1,1,1,50,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,40,50,60,1,50,1,1,1,1,1,1,50,1,1,1,1,1,50,1,1,1,1,6,7,8,9,1,50,1,1,1,1,50,50,1,1,50,50,1,1,1
1,1,50,90,3,4,5,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,6,7,8,9,1,1,1,50,1,1,50,1,1,1,1,1,1,50,1
1,1,1,6,7,8,9,50,1,1,1,1,1,1,50,1,1,1,50,1,1,1,1,6,7,8,9,1,1,50,50,50,1,1,1,50,1,1,1,50,1,1
1,1,1,50,1,1,1,1,50,1,1,1,1,50,1,1,1,1,1,1,1,50,1,6,7,8,9,1,1,1,50,1,1,1,1,50,1,1,1,1,50,50
50,50,1,2,3,4,5,1,1,1,50,50,50,50,1,1,1,1,1,1,1,1,50,6,7,8,9,50,1,1,1,1,1,1,1,50,1,1,1,50,1,1
